teencode,standard
a,anh
acc,account
ace,anh chị em
ad,admin
ae,anh em
ah,à
ah,à
àh,à
ạh,ạ
ak,á
ák,á
àk,à
ạk,ạ
atrai,anh trai
atsm,ảo tưởng sức mạnh
aye,anh yêu em
bằg,bằng
baoh,bao giờ
bbè,bạn bè
bgái,bạn gái
biet,biết
biêt,biết
bìh,bình
bik,biết
bme,bố mẹ
bn,bạn
bn,bao nhiêu
bnhiêu,bao nhiêu
bnhiu,bao nhiêu
bóg,bóng
bsĩ,bác sĩ
bsvv,buổi sáng vui vẻ
bth,bình thường
bthường,bình thường
bt,bình thường
btrai,bạn trai
buôg,buông
c,chị
càg,càng
cbị,chuẩn bị
cđời,cuộc đời
ce,chị em
cgai,con gái
cgái,con gái
chàg,chàng
chăg,chăng
chk,chồng
chs,chẳng hiểu sao
chta,chúng ta
chuện,chuyện
chug,chung
chúg,chúng
cj,chị
ck,chồng
cka,cha
clmm,cái lồn mẹ mày
cmày,chúng mày
cmm,con mẹ mày
cmn,con mẹ nó
cmnd,chứng minh nhân dân
cmnr,con mẹ nó rồi
cmt,comment
csong,cuộc sống
csống,cuộc sống
cta,chúng ta
ctác,công tác
ctr,chương trình
ctrai,con trai
ctraj,con trai
ctrinh,chương trình
chòi oi,trời ơi
chời ơi,trời ơi
ctrình,chương trình
cty,công ty
cùg,cùng
cũg,cũng
cũng z,cũng vậy
cv,công việc
cviec,công việc
cx,cũng
đag,đang
đág,đáng
dàh,dành
đáh,đánh
đbh,đéo bao giờ
dc,được
dc,được
đc,được
đc,được
đcsvn,đảng cộng sản việt nam
đhbkhn,đại học bách khoa hà nội
đhkhtn,đại học khoa học tự nhiên
đhọc,đại học
đhs,đéo hiểu sao
địh,định
đii,đi
điiiiiii,đi
đjên,điên
đki,đăng ký
đkiện,điều kiện
dky,đăng ký
đky,đăng ký
dòg,dòng
đóg,đóng
đôg,đông
đồg,đồng
độg,động
đt,điện thoại
đthoai,điện thoại
đthoại,điện thoại
dthương,dễ thương
đtqg,đội tuyển quốc gia
dừg,dừng
đứg,đứng
đuợc,được
đươc,được
dz,đẹp trai
đz,đẹp giai
đzai,đẹp trai
dzậy,dậy
e,em
eya,em yêu anh
face,facebook
fải,phải
fây,phây
fb,facebook
fen,friend
gắg,gắng
gđ,gia đình
gđình,gia đinh
gh,giao hàng
giốg,giống
hahah,ha ha
haj,hai
hajz,hai
hajzz,hai
hđộng,hành động
hêhê,hê hê
hem,không
hic,hích
hai lừn,highland
hìh,hình
hiha,hi ha
hihe,hi he
hìhì,hì hì
hixxx,hích
hjhj,hi hi
hjx,hix
hjxhjx,hix hix
hkì,học kỳ
hnay,hôm nay
hôg,không
hok,không
họk,học
hong kong,hồng kông
hoy,thôi
hphúc,hạnh phúc
hqua,hôm qua
hsơ,hồ sơ
htrc,hôm trước
hum,hôm
ib,inbox
ik,ý
in4,info
insta,instagram
iu,yêu
j,gì
ji,gì
jo,giờ
júp,giúp
k,không
kái,cái
kảm,cảm
kậu,cậu
kb,kết bạn
kêh,kênh
keke,ce ce
kh,không
khg,không
khoảg,khoảng
khôg,không
kih,kinh
klq,không liên quan
ko,không
kô,không
kòn,còn
kqua,kết quả
ksao,không sao
kte,kinh tế
ktra,kiểm tra
ku,cu
kủa,của
kũg,cũng
lặg,lặng
lạh,lạnh
lgi,làm gì
llac,liên lạc
lm,làm
lmht,liên minh huyền thoại
lòg,lòng
lol,lồn
loz,lồn
lozz,lồn
lquan,liên quan
lquen,làm quen
ltinh,linh tinh
lúk,lúc
lz,làm gì
lzi,làm gì
mih,mình
mik,mình
mìnk,mình
mjh,mình
mk,mình
mn,mọi người
mng,mọi người
mớj,mới
mún,muốn
mqh,mối quan hệ
ms,mới
my fen,my friend
nàg,nàng
năg,năng
nắg,nắng
nặg,nặng
nch,nói chuyện
nek,nè
nèk,nè
ng,người
ngag,ngang
ngàh,ngành
ngđo,người đó
ngđó,người đó
ngèo,nghèo
nghành,ngành
ngía,nghía
ngke,nghe
ngkhác,người khác
ngốk,ngốc
ngta,người ta
nguoi,người
nguời,người
ngừoi,người
ngyeu,người yêu
nhaa,nha
nhiềuuu,nhiều
nhjeu,nhiều
nhoé,nhé
nhưg,nhưng
nhữg,những
nhưq,nhưng
nkư,như
nkưng,nhưng
nógn,nóng
ns,nói
nta,người ta
nthe,như thế
nthê,như thế
nthế,như thế
ntn,như thế nào
ntnao,như thế nào
ntnày,như thế này
nvay,như vậy
nvậy,như vậy
nvqs,nghĩa vụ quân sự
ny,người yêu
nyc,người yêu cũ
nyêu,người yêu
oh,ồ
ơiii,ơi
ơiiii,ơi
on lai,online
onl,online
oy,rồi
òy,rồi
okie,ok
ô kê,ok
phog,phong
phòg,phòng
pjt,biết
plz,please
pn,bạn
qá,quá
qà,quà
qả,quả
qué,quá
qc,quảng cáo
qhe,quan hệ
qhệ,quan hệ
qq,quằn què
qtam,quan tâm
qtâm,quan tâm
qtrọng,quan trọng
quí,quý
r,rồi
răg,răng
rằg,rằng
rì,gì
riêg,riêng
rồii,rồi
sdt,số điện thoại
sg,sài gòn
sml,sấp mặt lờ
snghĩ,suy nghĩ
snvv,sinh nhật vui vẻ
sốg,sống
sp,sản phẩm
sr,sorry
stk,số tài khoản
sub,subcribe
sviên,sinh viên
svtn,sinh viên tình nguyện
sz,size
t,tui
tcảm,tình cảm
tđn,thế đéo nào
teencode,tin cốt
tgdd,thế giới di động
tgian,thời gian
thằg,thằng
thẳg,thẳng
thàh,thành
thgian,thời gian
thich,thích
thíck,thích
thik,thích
thík,thích
thjc,thích
thjk,thích
thôii,thôi
thoy,thôi
thpt,trung học phổ thông
thuj,thôi
thươg,thương
thườg,thường
thuơng,thương
thỳ,thì
thým,thím
tiếg,tiếng
tíh,tính
tìh,tình
tks,thanks
tlai,tương lai
tnào,thế nào
tq,trung quốc
trag,trang
trc,trước
trieu,triệu
troai,trai
trog,trong
trọg,trọng
trườg,trường
từg,từng
tưởg,tưởng
tượg,tượng
tyêu,tình yêu
tym,tim
u hai ba,u23
uh,ừ
uh,ừ
uhm,ừm
uk,ừ
ukm,ừm
unf,unfriend
uốg,uống
vc,vợ chồng
vcđ,vãi cải đái
vcđ,vãi cả đái
vch,vãi chưởng
vchg,vãi chưởng
vcl,vờ cờ lờ
vd,ví dụ
vđ,vãi đái
vde,vấn đề
vđê,vấn đề
vk,vợ
vn,việt nam
vọg,vọng
vớii,với
vs,với
vv,vui vẻ
wa,quá
wá,quá
wtâm,quan tâm
wtf,what the fuck
xg,xuống
xih,xinh
xink,xinh
xl,xin lỗi
xloi,xin lỗi
xog,xong
xug,xùng
xuốg,xuống
ytb,youtube
z,vậy
z là,vậy là
zà,già
zạ,vậy
zám,dám
zậy,vậy
zẻ,vẻ
zìa,gì
zô,vô
zô,dô
zồi,rồi
zú,vú
zữ,dữ
zui,vui
zùi,rồi
wa,quá
wá,quá
zj,vậy
fa,độc thân
kute,dễ thương
avt,avatar
rep,trả lời
tr,trời
tn,tin nhắn
teencode,meaning
ko,không
k,không
kh,không
hok,không
hong,không
hông,không
hem,không
hơm,không
hum,không
hổng,không
khum,không
khumz,không
khumm,không
kg,không
hk,không
0,không
đc,được
dc,được
dk,được
đk,được
đcạ,được
duoc,được
đcò,được
đượcg,được
r,rồi
roi,rồi
ròi,rồi
rùi,rồi
rui,rồi
rồii,rồi
ròii,rồi
rồiii,rồi
rùiie,rồi
chx,chưa
chua,chưa
chưaa,chưa
chưaaaa,chưa
chưaá,chưa
cx,cũng
cug,cũng
cũg,cũng
cung,cũng
cũngg,cũng
lun,luôn
luon,luôn
lunn,luôn
luônn,luôn
nma,nhưng mà
nhma,nhưng mà
nhưngmà,nhưng mà
nmaaa,nhưng mà
vs,với
zới,với
zoi,với
voi,với
vơi,với
z,vậy
zậy,vậy
vay,vậy
vậyạ,vậy
vậyá,vậy
vãi,rất
vl,rất
vcl,rất
vch,rất
vãii,rất
quáa,quá
qá,quá
qa,quá
wa,quá
wá,quá
qtr,quá trời
qt,quá trời
qtqđ,quá trời quá đất
qtqd,quá trời quá đất
đr,đúng rồi
dr,đúng rồi
đroi,đúng rồi
đrồi,đúng rồi
droi,đúng rồi
chuẩn,đúng
chuan,đúng
ok,ổn
oke,ổn
oki,ổn
okie,ổn
okii,ổn
okela,ổn
okelaa,ổn
okee,ổn
okeee,ổn
okey,ổn
ổnn,ổn
on,ổn
onap,ổn áp
ổnap,ổn áp
bth,bình thường
bt,bình thường
bthuong,bình thường
bthg,bình thường
btg,bình thường
binhthuong,bình thường
tạm,tạm ổn
tam,tạm ổn
tamổn,tạm ổn
tàmtạm,tạm ổn
iu,yêu
iuu,yêu
iuiu,yêu
iêuu,yêu
yeu,yêu
yêuu,yêu
yêuuu,yêu
thik,thích
thich,thích
thícc,thích
thíchh,thích
ưng,thích
ưngg,thích
ưnggg,thích
mê,thích
mêê,thích
me,thích
mlem,thích
cute,dễ thương
cuti,dễ thương
cutii,dễ thương
cưng,dễ thương
cưngg,dễ thương
xinh,xinh
xinhh,xinh
xĩu,xỉu
xỉuu,xỉu
xỉuuu,xỉu
xinhxiu,xinh xỉu
xinhxỉu,xinh xỉu
đẹp,đẹp
depp,đẹp
đẹpp,đẹp
đẹppp,đẹp
xịn,xịn
xịnò,xịn
xịnòoo,xịn
xịnso,xịn sò
xịn sò,xịn
xịn xò,xịn
xịn xịn,xịn
đỉnh,đỉnh
đỉnhh,đỉnh
đỉnk,đỉnh
dinh,đỉnh
đỉnhcao,đỉnh cao
hịn,xịn
hịnò,xịn
ngon,ngon
ngonn,ngon
ngonnn,ngon
ngonê,ngon
ổnáp,ổn áp
hời,đáng tiền
hoi,đáng tiền
re,rẻ
rẻe,rẻ
ree,rẻ
rẻê,rẻ
mắc,đắt
mac,đắt
đắt,đắt
dat,đắt
chát,đắt
chat,đắt
mắcc,đắt
sp,sản phẩm
spham,sản phẩm
sanpham,sản phẩm
sảnphẩm,sản phẩm
hang,hàng
hàngg,hàng
hànggg,hàng
shop,cửa hàng
shopp,cửa hàng
shoppp,cửa hàng
shoppe,cửa hàng
shope,cửa hàng
store,cửa hàng
brand,thương hiệu
br,thương hiệu
rv,đánh giá
review,đánh giá
rvw,đánh giá
feedback,phản hồi
fb,phản hồi
fback,phản hồi
cmt,bình luận
comment,bình luận
cm,bình luận
ib,nhắn tin
inbox,nhắn tin
nt,nhắn tin
nhan,nhắn tin
nhắn,nhắn tin
rep,trả lời
reply,trả lời
tl,trả lời
trloi,trả lời
trảloi,trả lời
phảnhoi,phản hồi
ship,giao hàng
shipp,giao hàng
shipper,người giao hàng
vc,vận chuyển
vanchuyen,vận chuyển
vậnchuyển,vận chuyển
gh,giao hàng
giaohang,giao hàng
freeship,miễn phí giao hàng
free ship,miễn phí giao hàng
fs,miễn phí giao hàng
cod,thanh toán khi nhận hàng
đơn,đơn hàng
don,đơn hàng
đơnhàng,đơn hàng
donhang,đơn hàng
ord,đơn hàng
order,đặt hàng
dat,đặt
đat,đặt
mua,mua
muaa,mua
deal,khuyến mãi
sale,giảm giá
săn,săn
san,săn
săn sale,săn giảm giá
voucher,mã giảm giá
mgg,mã giảm giá
magiamgia,mã giảm giá
km,khuyến mãi
khuyenmai,khuyến mãi
promo,khuyến mãi
discount,giảm giá
giảm,giảm giá
giam,giảm giá
sz,kích cỡ
size,kích cỡ
siz,kích cỡ
sai size,sai kích cỡ
form,dáng
formao,dáng áo
dáng,dáng
dang,dáng
fit,vừa
vừa,vừa
vua,vừa
rộng,rộng
rong,rộng
chật,chật
chạtt,chật
chat,chật
ngắn,ngắn
ngan,ngắn
dài,dài
dai,dài
to,to
nhỏ,nhỏ
nho,nhỏ
vải,chất liệu
vai,chất liệu
chatlieu,chất liệu
clieu,chất liệu
cl,chất lượng
chatluong,chất lượng
chấtlượng,chất lượng
mỏng,mỏng
mong,mỏng
dày,dày
day,dày
mềm,mềm
mem,mềm
mát,mát
mat,mát
bí,nóng bí
bi,nóng bí
nóng,nóng
nong,nóng
thoáng,thoáng
thoang,thoáng
co giãn,co giãn
cogian,co giãn
mùi,mùi
mui,mùi
hôi,hôi
hoi,hôi
thơm,thơm
thom,thơm
lỗi,lỗi
loi,lỗi
bug,lỗi
error,lỗi
hỏng,hỏng
hong,hỏng
hư,hỏng
hu,hỏng
vỡ,vỡ
vo,vỡ
rách,rách
rach,rách
bẩn,bẩn
ban,bẩn
dơ,bẩn
do,bẩn
mốc,mốc
moc,mốc
lem,lem
phai,phai màu
phaimau,phai màu
xù,xù lông
xu,xù lông
xùlông,xù lông
bung,bung chỉ
bungchi,bung chỉ
sứt,sứt
sut,sứt
móp,móp
mop,móp
trầy,trầy
tray,trầy
xước,xước
xuoc,xước
xấu,xấu
xau,xấu
xấuu,xấu
xấuuu,xấu
tệ,tệ
te,tệ
tệe,tệ
tệee,tệ
dở,dở
do,dở
kém,kém
kem,kém
dỏm,kém chất lượng
dom,kém chất lượng
lởm,kém chất lượng
lom,kém chất lượng
fake,giả
pha ke,giả
fail,thất vọng
thấtvọng,thất vọng
thatvong,thất vọng
chán,chán
chan,chán
chánn,chán
bực,bực
buc,bực
ức,ức chế
uc,ức chế
uc che,ức chế
khóchịu,khó chịu
khochịu,khó chịu
khochiu,khó chịu
khóc,buồn
khoc,buồn
buồn,buồn
buon,buồn
tiếc,tiếc
tiec,tiếc
phítiền,phí tiền
phitien,phí tiền
lừa,lừa đảo
lua,lừa đảo
lua dao,lừa đảo
bom,bom hàng
bomhang,bom hàng
trễ,trễ
tre,trễ
muộn,muộn
muon,muộn
lâu,lâu
lau,lâu
lâuu,lâu
lâuê,lâu
chậm,chậm
cham,chậm
chậmm,chậm
nhanh,nhanh
nhah,nhanh
nhanhh,nhanh
nhanhhh,nhanh
sớm,sớm
som,sớm
kịp,kịp
kip,kịp
đúnghẹn,đúng hẹn
dunghen,đúng hẹn
trảhàng,trả hàng
trahang,trả hàng
đổi,trả đổi
doi,trả đổi
đổihàng,đổi hàng
doihang,đổi hàng
hoàn,hoàn tiền
hoantien,hoàn tiền
refund,hoàn tiền
cs,customer service
cskh,chăm sóc khách hàng
hotline,đường dây nóng
ad,quản trị viên
admin,quản trị viên
page,trang
app,ứng dụng
web,trang web
tiktok,tiktok
fb,facebook
face,facebook
ins,instagram
ig,instagram
shopee,shopee
lazada,lazada
tiki,tiki